line 1: k=13
line 2: clear
line 3: buildTree 1
(75,10,98,36,6,59,94,45,50,5,9,53,39) 
line 4: nodeCount_height_leafCount
nodeCount=1;height=1;leafCount=1
line 5: inorderTraversal
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39) 
line 6: preorderTraversal
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39) 
line 7: postorderTraversal
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39) 
line 8: nearestNeighbour (3,9,8,3,2,2,6,2,3,6,7,4,9)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 9: nearestNeighbour (3,10,3,7,8,5,1,9,1,1,4,3,3)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 10: kNearestNeighbour 8 (8,9,1,6,4,5,10,1,5,9,7,2,7)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 11: kNearestNeighbour 6 (8,9,1,3,3,1,2,5,9,6,9,7,8)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 12: nearestNeighbour (1,8,4,7,7,6,9,9,2,4,4,6,2)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 13: kNearestNeighbour 3 (5,10,7,1,2,1,9,8,8,4,10,4,3)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 14: kNearestNeighbour 5 (8,6,6,5,10,10,3,10,2,7,7,9,1)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 15: kNearestNeighbour 3 (5,4,4,7,10,9,6,9,2,2,8,1,5)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 16: nearestNeighbour (7,7,10,3,8,6,1,6,1,1,1,2,9)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 17: nearestNeighbour (1,6,5,8,9,3,4,1,1,5,5,9,8)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 18: nearestNeighbour (2,8,10,5,8,6,6,8,3,5,7,9,10)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 19: kNearestNeighbour 4 (5,10,8,2,6,7,1,8,5,7,3,2,6)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 20: nearestNeighbour (9,6,3,5,2,6,8,8,1,1,6,1,5)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 21: kNearestNeighbour 6 (6,3,2,5,9,7,3,3,2,4,4,3,8)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 22: nearestNeighbour (2,2,7,5,7,10,8,7,2,10,6,3,4)
(75, 10, 98, 36, 6, 59, 94, 45, 50, 5, 9, 53, 39)
line 23: kNearestNeighbour 8 (6,7,9,9,8,10,4,8,6,9,4,4,5)
